feature,importance
now_trade_interval,3189
area,2966
室面积,2951
mean_area,2884
area_floor_ratio,2812
卫面积,2716
厅面积,2699
所在楼层,1822
uv_pv_ratio,1661
uv,1293
2018_trade_interval,1214
pv,1205
tradeNewMeanPrice,1182
totalFloor,1101
tradeMeanPrice,1050
communityName_uv_pv_ratio_skew,970
totalTradeMoney,958
communityName_厅面积_skew,942
totalNewTradeMoney,918
communityName_室面积_skew,907
communityName_厅数量_skew,899
tradeSecNum,878
communityName_mean_area_skew,876
communityName_totalFloor_mean,875
communityName_卫面积_skew,869
totalTradeArea,869
communityName_area_skew,859
communityName_now_trade_interval_skew,858
communityName_室数量_skew,852
communityName_uv_skew,849
communityName_pv_skew,846
communityName_remainNewNum_skew,815
communityName_tradeMeanPrice_skew,803
communityName_totalFloor_skew,772
communityName_tradeNewMeanPrice_skew,770
communityName_now_trade_interval_mean,769
totalNewTradeArea,768
communityName_totalTradeMoney_skew,757
communityName_now_trade_interval_max,739
communityName_卫面积_max,737
communityName_mean_area_max,733
remainNewNum,723
uv_pv_sum,718
communityName_uv_pv_ratio_mean,717
communityName_totalTradeArea_skew,710
communityName_mean_area_median,700
communityName_室数量_mean,699
communityName_厅面积_mean,691
communityName_厅面积_max,689
communityName_mean_area_mean,684
communityName_area_max,676
communityName_now_trade_interval_min,666
communityName_室面积_max,653
communityName_now_trade_interval_median,640
communityName_厅数量_mean,640
communityName_室面积_median,632
communityName_厅面积_median,626
communityName_卫数量_skew,616
communityName_室面积_min,608
communityName_厅面积_min,597
communityName_mean_area_min,595
communityName_now_build_interval_sum,589
communityName_uv_pv_ratio_min,588
communityName_卫面积_mean,587
communityName_卫面积_min,584
communityName_area_min,576
communityName_totalFloor_sum,573
communityName_卫数量_mean,570
communityName_totalFloor_max,569
communityName_tradeNewMeanPrice_mean,564
tradeNewNum,558
communityName_卫面积_median,554
communityName_室面积_mean,551
communityName_totalFloor_min,545
室占比,532
communityName_uv_pv_ratio_max,520
houseFloor_ratio,487
communityName_area_median,486
communityName_area_mean,486
communityName_uv_pv_ratio_median,475
communityName_remainNewNum_sum,471
saleSecHouseNum,466
厅占比,461
communityName_tradeMeanPrice_mean,457
communityName_tradeNewMeanPrice_median,445
卫占比,438
communityName_pv_min,437
communityName_totalTradeMoney_sum,424
communityName_uv_min,421
communityName_totalFloor_median,419
communityName_tradeNewMeanPrice_sum,416
小区名字的数字,410
communityName_tradeNewMeanPrice_max,408
室厅数量,404
室卫数量,391
communityName_pv_mean,387
室卫厅数量,387
communityName_tradeMeanPrice_median,382
communityName_tradeMeanPrice_min,375
communityName_uv_mean,371
communityName_pv_sum,368
supplyNewNum,358
